alloc_key,NAME,lon,lat,statearea,maize,tavg,srad,prec,wind,PHIHOX,BDRICM,BLD,CLYPPT,TEXMHT,ORCDRC,DRAINFAO,EVI,NDVI,slope,elevation
5956,Majune,36.05817035,-13.2526554867,1267969.741783247,11008.0,23.399996,17401.916,103.583336,1.9,58.0,156.0,1300.0,26.0,6.0,14.0,4.0,0.32330000000000003,0.6409,1.3657601,662.0
6094,Majune,35.8726534265,-13.3407509235,1267969.741783247,11008.0,22.641668,17472.084,105.333336,1.9,59.0,155.0,1350.0,18.0,9.0,11.0,5.0,0.2841,0.5552,0.7893853,774.0
6103,Majune,36.702815486,-13.349639921400001,1267969.741783247,11008.0,23.65,17141.084,94.25,1.6,60.0,127.0,1300.0,23.0,6.0,13.0,4.0,0.3416,0.6455000000000001,0.11915278,656.0
6237,Majune,36.1482420158,-13.434327112,1267969.741783247,11008.0,23.483335,17360.416,99.166664,1.9,59.0,148.0,1320.0,21.0,6.0,12.0,5.0,0.3032,0.5383,1.1822668,651.0
18943,Massangena,32.7426783394,-21.557952114000006,688835.4404617787,1208.0,23.841667,18111.25,49.083332,1.7,62.0,166.0,1520.0,18.0,9.0,7.0,4.0,0.3271,0.6547000000000001,0.0,208.0
8484,Cuamba,36.7802589008,-14.886431271300001,488095.4937524157,28471.0,24.0,16917.5,82.333336,1.3,59.0,139.0,1360.0,19.0,9.0,12.0,4.0,0.2908,0.5939,0.7609527,572.0
7921,Cuamba,36.5057025607,-14.522250023,488095.4937524157,28471.0,22.816666,16988.0,82.583336,1.4,58.0,120.0,1280.0,24.0,6.0,17.0,5.0,0.3129,0.5693,2.1394224,696.0
8060,Cuamba,36.4119265699,-14.6115679686,488095.4937524157,28471.0,23.16667,17024.834,81.416664,1.6,59.0,120.0,1330.0,25.0,6.0,13.0,3.0,0.2963,0.49660000000000004,0.46965292,655.0
8199,Cuamba,36.3180749716,-14.7008350429,488095.4937524157,28471.0,23.133331,16942.834,82.916664,1.6,57.0,127.0,1350.0,25.0,6.0,15.0,5.0,0.2963,0.5228,0.89988387,659.0
8200,Cuamba,36.4108652598,-14.7018901405,488095.4937524157,28471.0,23.733335,16957.75,81.5,1.5,60.0,134.0,1360.0,28.0,6.0,16.0,3.0,0.26,0.4585,0.1644257,638.0
8201,Cuamba,36.5036628218,-14.702908184000002,488095.4937524157,28471.0,23.916664,16977.0,80.583336,1.4,60.0,121.0,1390.0,24.0,6.0,11.0,4.0,0.2605,0.453,0.61888057,631.0
