id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"8360,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2675497300,-14.8056029700"
"8361,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3604764460,-14.8058795880"
"8362,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4534049650,-14.8061187400"
"8496,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8954069920,-14.8945184870"
"8497,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9883625030,-14.8949476530"
"8498,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0813208690,-14.8953391300"
"8499,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1742818270,-14.8956929130"
"8500,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2672451160,-14.8960089990"
"8501,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3602104720,-14.8962873820"
"8502,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4531776340,-14.8965280590"
"8635,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8019534780,-14.9844445330"
"8636,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8949447480,-14.9849143430"
"8637,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9879391420,-14.9853462310"
"8638,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0809363960,-14.9857401920"
"8639,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1739362470,-14.9860962190"
"8640,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2669384340,-14.9864143100"
"8641,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3599426920,-14.9866944590"
"8642,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4529487600,-14.9869366630"
"8643,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.5459563740,-14.9871409190"
"8644,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.6389652720,-14.9873072240"
"8645,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.7319751900,-14.9874355760"
"8774,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.7084219540,-15.0743257660"
"8775,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8014489710,-15.0748366950"
"8776,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8944793810,-15.0753094690"
"8777,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9875129200,-15.0757440820"
