XCoord,YCoord,lat,long,FID,ID,ORIG_FID,area_m2,gw_depth,TDS,country,elevation,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6,wind_7,wind_8,wind_9,wind_10,wind_11,wind_12,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,srad_1,srad_2,srad_3,srad_4,srad_5,srad_6,srad_7,srad_8,srad_9,srad_10,srad_11,srad_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tavg_1,tavg_2,tavg_3,tavg_4,tavg_5,tavg_6,tavg_7,tavg_8,tavg_9,tavg_10,tavg_11,tavg_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
73429.61481,3449933.084,29.74747,0.65963,117,374298,117,12661.86431,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72215.07587,3449937.242,29.7475,0.64872,118,374299,118,16070.83306,30,3000,moz,359,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
72842.88796,3449849.19,29.74681,0.65436,119,374308,119,10226.82265,30,3000,moz,359,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
73461.32984,3449805.88,29.74647,0.65991,120,374309,120,973.979778,30,3000,moz,360,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
73574.71084,3449794.069,29.74638,0.66093,121,374310,121,973.978869,30,3000,moz,362,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
73222.33869,3449836.912,29.74671,0.65777,122,374315,122,28732.47386,30,3000,moz,358,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72560.66247,3449766.508,29.74616,0.65182,123,374319,123,20453.51173,30,3000,moz,358,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
73523.17402,3449699.575,29.74564,0.66047,124,374320,124,486.9858,30,3000,moz,358,3.5,4,4.3,5.3,5.2,4.8,4.6,4.6,4,3.8,3.6,3.6,3.21,3.21,4.2125,2.1265,1.36883,0.05,0.064458,0.518583,2.09808,4.64496,2.48342,2.74867,14507,17488,22206,25774,27933,28666,28224,26585,22747,18873,15097,13279,18.0247,21.066099,25.203699,30.514299,35.421101,40.639599,43.013401,42.136299,37.790501,30.710199,23.0434,18.252501,10.5097,13.6538,17.6192,22.982901,28.002501,33.089401,34.696899,35.119202,30.7836,23.8118,16.219999,11.5809,3.69784,6.47227,10.147,15.0764,20.0005,24.9739,28.2502,27.519199,23.222099,16.9842,9.73241,5.58545
72172.90934,3449652.329,29.74527,0.64834,125,374321,125,973.967967,30,3000,moz,360,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
72296.59771,3449640.518,29.74517,0.64945,126,374322,126,1947.934116,30,3000,moz,360,3.5,4,4.3,5.3,5.3,4.6,4.6,4.6,4,3.8,3.6,3.6,3.20667,3.20667,4.21417,2.11506,1.37039,0.05,0.061153,0.520194,2.10314,4.65987,2.48192,2.74378,14507,17488,22206,25775,27958,28637,28259,26586,22747,18873,15097,13279,18.0233,21.065001,25.2519,30.5625,35.468899,40.637402,43.012501,42.135101,37.788101,30.707701,23.0413,18.251101,10.5102,13.655,17.6199,22.9834,28.0023,33.089001,34.698002,35.1203,30.7836,23.8118,16.220301,11.5814,3.69983,6.47548,10.1493,15.0787,20.002701,24.975401,28.253799,27.4739,23.224001,16.987,9.73449,5.53684
