Pixel,lat,lon,State,Fraction,MaizeArea
223732,-16.65113,37.57943,Maganja_da_Cost,0.0015898,0.13020462
224979,-14.80139,38.23333,Ribaue,0.00644871,0.528149349
224980,-16.15142,37.22773,Ile,0.02557766,2.094810354
224981,-20.76501,34.92441,Machanga,0.01467694,1.202041386
224982,-16.83575,38.34765,Pebane,0.00562633,0.460796427
224983,-17.2892,37.14195,Maganja_da_Cost,0.000557,0.0456183
224984,-17.99577,36.50218,Mopeia,0.0168013,1.37602647
224985,-18.82021,33.04344,Manica,0.02730886,2.236595634
224986,-12.70844,34.84458,Lago,0.00275082,0.225292158
224987,-23.96901,35.02615,Homoine,0.00660126,0.540643194
224988,-14.89726,40.49206,Mossuril,0.02247652,1.840826988
224989,-16.28002,37.49792,Ile,0.00562768,0.460906992
224999,-15.05964,37.46031,Malema,0.00337672,0.276553368
225000,-14.68763,40.74133,Mossuril,0.04845557,3.968511183
225001,-16.57071,34.48119,Mutarara,0.00930597,0.762158943
225002,-15.17361,36.16634,Mecanhelas,0.00430508,0.352586052
225003,-12.88153,34.95209,Lago,0.07225662,5.917817178
225004,-15.05189,40.33501,Monapo,0.03006286,2.462148234
225005,-15.28729,35.88572,Mecanhelas,0.02920434,2.391835446
226252,-15.31223,30.59122,Zumbu,0.00284356,0.232887564
226253,-14.87217,40.13872,Monapo,0.0176781,1.44783639
226254,-14.67257,40.27697,Monapo,0.13622518,11.15684224
226255,-17.60227,35.07689,Caia,0.00955393,0.782466867
226256,-19.89155,33.92759,Chibabava,0.03535226,2.895350094
226257,-13.65024,37.57159,Maua,0.00521208,0.426869352
226258,-17.49416,36.14209,Morrumbala,0.10769224,8.819994456
226259,-15.60563,39.86285,Mongincual,0.00334761,0.274169259
226260,-16.67771,37.50422,Maganja_da_Cost,0.01489874,1.220206806
226261,-15.62501,39.41515,Mogovolas,0.00318505,0.260855595
226262,-15.85559,37.54779,Alto_Molocue,0.00562026,0.460299294
226263,-17.57923,34.83286,Caia,0.17878231,14.64227119
226270,-14.43639,36.46325,Metarica,0.07112246,5.824929474
226271,-15.38942,39.63832,Meconta,0.01006428,0.824264532
226272,-16.71902,35.6386,Morrumbala,0.13019716,10.6631474
226273,-14.81637,36.51459,Cuamba,0.28882794,23.65500829
226274,-18.61643,33.14499,Manica,0.0069375,0.56818125
226275,-18.38115,34.40786,Maringue,0.00084458,0.069171102
226276,-12.77229,34.88949,Lago,0.00224931,0.184218489
226277,-24.24927,34.12284,Panda,0.12517329,10.25169245
226278,-15.21396,40.43842,Mossuril,0.07939094,6.502117986
227525,-15.30397,40.49491,Mossuril,0.31045831,25.42653559
227526,-16.96344,35.68118,Morrumbala,0.11093692,9.085733748
227527,-18.12956,34.44277,Maringue,0.00202666,0.165983454
227528,-17.28052,35.75071,Morrumbala,0.01311525,1.074138975
227529,-17.23524,35.74211,Morrumbala,0.06260972,5.127736068
227530,-16.28615,37.13297,Ile,0.00205006,0.167899914
227531,-19.71205,34.63758,Buzi,0.00932217,0.763485723
227532,-14.76307,40.25891,Monapo,0.0800641,6.55724979
227533,-23.58829,35.31173,Morrumbene,0.08834565,7.235508735
227534,-19.10425,34.13223,Nhamatanda,0.04330898,3.547005462
227535,-16.38459,39.29499,Moma,0.00355342,0.291025098
227536,-17.29917,35.78797,Morrumbala,0.14236502,11.65969514
227537,-16.50897,38.00207,Pebane,0.04869925,3.988468575
227542,-19.10069,33.09024,Manica,0.00401881,0.329140539
227543,-14.95636,38.93025,Nampula,0.24662305,20.1984278
227544,-19.62466,35.15393,Dondo,0.12744704,10.43791258
227545,-16.59691,37.57983,Ile,0.00298154,0.244188126
227546,-14.68465,39.46905,Muecate,0.00140878,0.115379082
227547,-18.71738,33.20764,Manica,0.00487865,0.399561435
227548,-19.39673,33.95265,Nhamatanda,0.03503024,2.868976656
227549,-20.19138,33.70802,Chibabava,0.00283329,0.232046451
227550,-22.48831,34.29366,Funhalouro,0.01220008,0.999186552
227551,-14.08124,35.51427,N'gauma,2.34370711,191.9496123
229798,-14.75742,39.13472,Mecuburi,0.00088804,0.072730476
229799,-20.13143,34.46376,Buzi,0.00263756,0.216016164
247648,-16.68215,38.36693,Pebane,0.03464515,2.837437785
