Pixel,State,lon,lat,Crop,Fraction,CropArea
43138,Pebane,38.61678,-16.88573,Maize,0.19098185,19.098185
35643,Nampula,38.96446,-15.26787,Maize,0.01155385,1.155385
12353,Funhalouro,34.22139,-22.52631,Maize,0.0604023,6.04023
36532,Maringue,34.65411,-17.84999,Maize,0.42064641,42.064641
18079,Muanza,35.09902,-19.00512,Maize,0.10117644,10.117644
12993,Morrumbala,35.45965,-16.61182,Maize,0.52080707,52.080707
18717,Mecanhelas,36.12846,-15.00563,Maize,0.06576288,6.576288
42962,Pebane,38.04285,-17.12789,Maize,0.44819279,44.819279
30211,Gondola,33.57692,-18.89466,Maize,2.09246591,209.246591
36748,Cahora_Bassa,32.85373,-15.65143,Maize,0.95747408,95.747408
43522,Pebane,38.21179,-17.19189,Maize,0.35183045,35.183045
5543,Cuamba,36.52997,-14.8387,Maize,3.20E-07,3.20E-05
30343,Jangamo,35.36189,-24.13478,Maize,0.56627982,56.627982
23197,Alto_Molocue,37.53842,-15.44387,Maize,0.49001635,49.001635
6691,Nhamatanda,34.13647,-19.18055,Maize,0.67618781,67.618781
2506,Maravia,31.68641,-14.5382,Maize,0.07778831,7.778831
29910,Sanga,35.43566,-12.95585,Maize,0.11086994,11.086994
43548,Chinde,35.89247,-18.15355,Maize,0.58262651,58.262651
17350,Homoine,35.01488,-23.59406,Maize,0.05961114,5.961114
9112,Mecuburi,38.91811,-14.69826,Maize,0.00175557,0.175557
11783,Angonia,34.48234,-14.69036,Maize,0.05116997,5.116997
32514,Mopeia,35.40049,-17.73888,Maize,0.00498792,0.498792
16268,Moatize,34.35905,-15.6706,Maize,2.00E-08,2.00E-06
16315,Moatize,34.33963,-15.70624,Maize,0.00539114,0.539114
41198,Macanga,33.71207,-15.14246,Maize,0,0
33652,Barue,33.28703,-18.2288,Maize,0.62494864,62.494864
8931,Mecuburi,38.88105,-14.50837,Maize,0.47752215,47.752215
33343,Barue,33.23352,-17.84913,Maize,0.3859659,38.59659
12093,Angonia,34.24756,-14.83891,Maize,0.54510347,54.510347
3649,Gorongosa,34.49454,-18.91924,Maize,0.23037235,23.037235
