id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"18824",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.6865197330,-21.6673322960
"18825",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.7831307126,-21.6663224278
"18826",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.8797359043,-21.6652563894
"18827",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.9763349951,-21.6641341951
"18828",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.0729276722,-21.6629558600
"18829",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.1695136228,-21.6617213999
"18830",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.2660925343,-21.6604308314
"18832",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.4592279902,-21.6576814392
"18962",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.5908960643,-21.7585998179
"18963",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.6875727813,-21.7576417638
"18964",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.7842440080,-21.7566272685
"18965",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.8809094306,-21.7555563457
"18966",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.9775687352,-21.7544290098
"18967",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.0742216080,-21.7532452760
"18968",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.1708677354,-21.7520051601
"18969",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.2675068039,-21.7507086788
