uid,BASICA_AREA,Zone,total_volume_prod,geometry
62.0,0.29120000000000001,36.0,140,POINT (31.12413720690701 -15.53612884532907)
65.0,0.29399999999999998,36.0,200,POINT (31.12482028562195 -15.5358364451915)
68.0,0.25840000000000002,36.0,50,POINT (31.12546134277564 -15.53606780987448)
71.0,0.35039999999999999,36.0,350,POINT (31.12362033798576 -15.53659435291513)
73.0,0.2142,36.0,300,POINT (31.12381949919452 -15.5362165092337)
76.0,0.13439999999999999,36.0,650,POINT (31.14576813048037 -15.53023907790599)
78.0,0.221,36.0,1350,POINT (31.31361344135012 -15.60594547984631)
83.0,0.22,36.0,500,POINT (31.30695457947529 -15.61740783240376)
86.0,0.20799999999999999,36.0,225,POINT (31.31451613720206 -15.60616930408315)
89.0,0.88,36.0,900,POINT (31.31454618076001 -15.61846939106601)
91.0,0.68,36.0,100,POINT (31.31716160061979 -15.59965555536588)
93.0,0.62,36.0,50,POINT (31.31454618076001 -15.61846939106601)
95.0,0.64,36.0,240,POINT (31.31379171270046 -15.6058112876684)
99.0,0.5,36.0,250,POINT (21.25080133662519 -82.02595754951223)
101.0,0.25,36.0,300,POINT (31.31501872647497 -15.61884355039483)
103.0,0.5,36.0,350,POINT (31.31414390425324 -15.61520381458815)
105.0,0.13719999999999999,36.0,100,POINT (31.18876515337541 -15.64832847330159)
108.0,0.6,36.0,2750,POINT (31.18765604548235 -15.64930431661158)
113.0,0.9,36.0,1000,POINT (31.18706852423733 -15.64929945680436)
116.0,0.21759999999999999,36.0,300,POINT (31.18964675387031 -15.64670912959871)
117.0,0.56999999999999995,36.0,220,POINT (31.18945520895141 -15.64621955887932)
120.0,0.44,36.0,NA,POINT (31.18996856620666 -15.64829323189804)
121.0,0.29759999999999998,36.0,NA,POINT (31.1890974742022 -15.64553884177585)
124.0,0.22259999999999999,36.0,350,POINT (31.18804873028266 -15.64707547033182)
126.0,0.2944,36.0,600,POINT (31.18920087313623 -15.64650663605797)
130.0,0.48,36.0,450,POINT (31.18950379190798 -15.64811769305476)
134.0,1.55,36.0,400,POINT (31.40477141598422 -15.60899419010378)
137.0,0.56000000000000005,36.0,200,POINT (31.39634280390053 -15.60758620245406)
138.0,0.36,36.0,250,POINT (31.40278828351036 -15.60135194714382)
140.0,0.36399999999999999,36.0,50,POINT (31.39662137104849 -15.60653986367274)
143.0,0.9,36.0,100,POINT (31.40255936430773 -15.6008080201518)
146.0,0.3,36.0,300,POINT (31.40436125718581 -15.60897313562584)
149.0,0.25,36.0,240,POINT (31.39667479206087 -15.60686561043881)
151.0,0.4,36.0,300,POINT (31.40444797745819 -15.60861225677898)
154.0,0.8,36.0,400,POINT (31.39605281978413 -15.60770157532527)
157.0,0.5,36.0,150,POINT (31.39694528252413 -15.60685854667095)
159.0,0.12239999999999999,36.0,100,POINT (31.3648278863113 -15.45684127242278)
162.0,0.1014,36.0,300,POINT (31.36445031767765 -15.45626911220421)
165.0,0.29759999999999998,36.0,1225,POINT (31.35900047624363 -15.45845208758478)
168.0,0.22620000000000001,36.0,275,POINT (31.36305728494046 -15.45803924867098)
170.0,0.28199999999999997,36.0,650,POINT (31.3582607316838 -15.45772359548009)
173.0,0.82799999999999996,36.0,1500,POINT (31.37109260241542 -15.46722654160736)
176.0,0.55079999999999996,36.0,720,POINT (31.36882283151904 -15.45599405795071)
180.0,1.2516,36.0,300,POINT (31.38161509890872 -15.48743071242394)
183.0,0.36570000000000003,36.0,200,POINT (31.38442766280405 -15.48769529032209)
185.0,0.77759999999999996,36.0,400,POINT (31.38353379188257 -15.48638732683887)
190.0,0.10340000000000001,36.0,450,POINT (31.31480592375594 -15.4234886964951)
195.0,0.35370000000000001,36.0,750,POINT (31.31291344007795 -15.42594156218304)
198.0,0.25869999999999999,36.0,600,POINT (31.31461254926507 -15.41627529505636)
199.0,0.186,36.0,875,POINT (31.28851207180137 -15.40439034675027)
202.0,0.23799999999999999,36.0,250,POINT (31.28834676358304 -15.40409987652054)
206.0,0.152,36.0,175,POINT (31.31205190197931 -15.42302493910777)
209.0,0.69159999999999999,36.0,1020,POINT (31.25903385651353 -15.41595507974005)
211.0,0.6048,36.0,2100,POINT (31.25931422798619 -15.41584882961403)
213.0,0.75960000000000005,36.0,500,POINT (31.3146392368985 -15.424517707186)
216.0,0.59399999999999997,36.0,180,POINT (31.31243379270672 -15.42303687947414)
218.0,0.26800000000000002,36.0,300,POINT (31.31158601963913 -15.42303043440265)
221.0,0.32,36.0,50,POINT (31.19931270213246 -15.54576522219384)
223.0,0.43120000000000003,36.0,200,POINT (31.1998994396822 -15.54689963182317)
224.0,7.1999999999999995E-2,36.0,100,POINT (31.19893704572233 -15.53857778524264)
228.0,0.32040000000000002,36.0,500,POINT (31.19917648172285 -15.53891410744265)
231.0,0.26750000000000002,36.0,280,POINT (31.19885025330273 -15.53891144332603)
234.0,9.4E-2,36.0,100,POINT (31.19781527905617 -15.53787277704946)
238.0,0.41160000000000002,36.0,400,POINT (31.19694848084904 -15.53679029702586)
241.0,0.26600000000000001,36.0,200,POINT (31.19776422532949 -15.53731206962002)
243.0,0.29399999999999998,36.0,1225,POINT (31.20012165624875 -15.54707314827776)
247.0,0.30780000000000002,36.0,400,POINT (31.19686880634442 -15.53737704652867)
249.0,0.51,36.0,40,POINT (18.1449612480222 -82.34702495721332)
251.0,0.21,36.0,500,POINT (30.95375127496827 -15.52721360439031)
255.0,0.42320000000000002,36.0,200,POINT (30.96301371243159 -15.53020885412517)
257.0,0.75,36.0,850,POINT (30.94976493299828 -15.52224304769302)
260.0,0.48720000000000002,36.0,90,POINT (30.95301645933576 -15.52612248963406)
263.0,0.84799999999999998,36.0,2650,POINT (30.94987099775349 -15.52659929579755)
267.0,0.39200000000000002,36.0,200,POINT (30.96241906384519 -15.53002264564252)
270.0,0.36,36.0,400,POINT (34.19394289393699 -15.53024444855446)
273.0,1.302,36.0,250,POINT (30.9531751719667 -15.5213711142623)
276.0,0.25,36.0,150,POINT (30.95247774768407 -15.52593677540356)
278.0,0.17280000000000001,36.0,500,POINT (30.42089200488372 -15.47688905845358)
285.0,0.1482,36.0,150,POINT (30.42089276661799 -15.476076102807)
290.0,0.10199999999999999,36.0,250,POINT (30.42244000489077 -15.4767445047743)
294.0,6.08E-2,36.0,1800,POINT (30.41803301118764 -15.47909587745061)
299.0,0.2016,36.0,100,POINT (30.41859998619222 -15.47844309062789)
301.0,0.25800000000000001,36.0,100,POINT (30.41985422992058 -15.47795187776476)
306.0,0.93799999999999994,36.0,100,POINT (14.42830351179497 -82.19279948947403)
309.0,0.1696,36.0,500,POINT (30.41887443922599 -15.47809400875226)
312.0,0.76629999999999998,36.0,450,POINT (30.41830846326266 -15.47791577937571)
315.0,0.1394,36.0,300,POINT (30.41953834874803 -15.47713522993144)
317.0,1,36.0,500,POINT (30.43020838742578 -15.43822778985587)
318.0,0.24,36.0,50,POINT (30.43056739873662 -15.44159223422315)
321.0,0.84,36.0,150,POINT (30.43045353551729 -15.43949525373129)
322.0,0.61040000000000005,36.0,625,POINT (30.43378084897567 -15.43625479211055)
327.0,0.20380000000000001,36.0,575,POINT (-18.12774417212822 -86.8310213324562)
332.0,0.56159999999999999,36.0,175,POINT (30.43032417491752 -15.43941245743339)
333.0,1.08,36.0,800,POINT (30.42903924588851 -15.44241458892148)
339.0,0.92,36.0,500,POINT (30.42961946436704 -15.44218645838543)
343.0,0.48,36.0,150,POINT (30.42942377297903 -15.4384174222659)
346.0,9.1999999999999998E-2,36.0,500,POINT (30.42956107226901 -15.44163476749004)
