Pixel,State,lon,lat,Crop,Fraction,MaizeArea
213,Ribaue,38.21219,-14.696929999999998,Maize,0.06135444,6.135444000000001
214,Ribaue,38.20286,-14.70594,Maize,6.14e-06,0.000614
215,Ribaue,38.31432,-14.7063,Maize,0.0,0.0
216,Ribaue,38.370059999999995,-14.70646,Maize,0.04053142,4.053142
217,Ribaue,38.38863,-14.70651,Maize,1.12738424,112.73842400000001
218,Ribaue,38.39792,-14.706529999999999,Maize,0.05100913,5.100913
219,Ribaue,38.4165,-14.706579999999999,Maize,0.00074663,0.074663
220,Ribaue,38.43508,-14.706620000000001,Maize,0.34506813,34.506812999999994
221,Ribaue,38.444359999999996,-14.70665,Maize,0.13472402,13.472402
222,Ribaue,38.38861,-14.71555,Maize,0.00202568,0.20256800000000003
223,Ribaue,38.072759999999995,-14.72354,Maize,0.21711557,21.711557
224,Ribaue,38.38858,-14.72459,Maize,0.20339091,20.339091
225,Ribaue,38.36998,-14.733579999999998,Maize,0.01739252,1.7392520000000002
226,Ribaue,37.93334,-14.74102,Maize,0.40744055,40.744055
227,Ribaue,38.04481,-14.74151,Maize,1.4257102,142.57102
228,Ribaue,38.10055,-14.741729999999999,Maize,1.10039617,110.039617
229,Ribaue,38.18415,-14.74204,Maize,0.00061565,0.061565
230,Ribaue,37.94259,-14.7501,Maize,0.00771854,0.771854
231,Ribaue,37.96117,-14.750179999999999,Maize,0.34011515,34.011514999999996
232,Ribaue,38.19341,-14.75111,Maize,0.45968115,45.968115
233,Ribaue,38.32347,-14.751529999999999,Maize,1.78251898,178.251898
234,Ribaue,38.36993,-14.751660000000001,Maize,0.01517455,1.517455
235,Ribaue,38.425670000000004,-14.75181,Maize,0.0139113,1.39113
236,Ribaue,38.02615,-14.75951,Maize,1.76218626,176.218626
237,Ribaue,38.434940000000005,-14.76087,Maize,1.34670125,134.67012499999998
238,Ribaue,38.18405,-14.769160000000001,Maize,1.83507621,183.507621
239,Ribaue,38.37916,-14.769770000000001,Maize,0.0277241,2.7724100000000003
240,Ribaue,37.961040000000004,-14.7773,Maize,0.08121157,8.121157
241,Ribaue,38.34195,-14.78775,Maize,0.07653526,7.653525999999999
242,Ribaue,38.36053,-14.7878,Maize,0.03997412,3.997412
243,Ribaue,38.3605,-14.79684,Maize,0.11624199,11.624199
244,Ribaue,38.38838,-14.79691,Maize,1.39535197,139.535197
245,Ribaue,38.41626,-14.79699,Maize,0.00704368,0.704368
246,Ribaue,38.016659999999995,-14.804670000000002,Maize,1.76565355,176.56535499999998
247,Ribaue,38.16533,-14.80526,Maize,5e-08,4.9999999999999996e-06
248,Ribaue,38.36977,-14.80591,Maize,0.00113734,0.11373399999999999
249,Ribaue,38.090959999999995,-14.814010000000001,Maize,0.07682204,7.682204
250,Ribaue,38.10025,-14.81405,Maize,1.07251209,107.251209
251,Ribaue,38.36974,-14.81495,Maize,0.0,0.0
252,Ribaue,37.88648,-14.82216,Maize,5.4e-07,5.4000000000000005e-05
253,Ribaue,37.96082,-14.8225,Maize,0.10379425,10.379425000000001
254,Ribaue,38.06304,-14.82294,Maize,1.7257623,172.57623
255,Ribaue,38.36972,-14.82399,Maize,0.0,0.0
256,Ribaue,38.42545,-14.83317,Maize,0.0166821,1.6682099999999997
257,Ribaue,37.90498,-14.840329999999998,Maize,0.0,0.0
258,Ribaue,37.923559999999995,-14.84041,Maize,1.113548,111.3548
259,Ribaue,37.97003,-14.840629999999999,Maize,1.27035,127.03500000000001
260,Ribaue,38.146609999999995,-14.84135,Maize,8e-08,8e-06
261,Ribaue,38.36037,-14.842039999999999,Maize,0.0,0.0
262,Ribaue,37.932809999999996,-14.8495,Maize,1.39287585,139.287585
