Unnamed: 0,State,lon,lat,Crop,Fraction,harv_area,sw_depth,sw_dist,sw_suit,geometry,country,curr_yield,max_yield
11991,Angonia,34.063559999999995,-14.78095,Maize,1.02463611,102.463611,955.0,10.231628313306404,9999,POINT (-31816.93434554175 8360046.250846549),moz,4500,6000
950,Mogovolas,39.50624000000001,-15.92725,Maize,0.73241468,73.24146800000001,52.0,14.435804057844956,9999,POINT (554183.5708944608 8239046.107689934),moz,4500,6000
37602,Tsangano,34.5034,-15.01539,Maize,0.01740483,1.7404830000000002,1046.0,28.467374064200314,9999,POINT (16183.50202707818 8335045.825134907),moz,4500,6000
30639,Gurue,36.87047000000001,-15.15836,Maize,0.10606314,10.606314,575.0,22.346162713430648,9999,POINT (271183.1928916009 8323046.281856511),moz,4500,6000
35498,Nampula,39.31854000000001,-15.38517,Maize,0.16845457,16.845457,220.0,9.552568866667807,9999,POINT (534183.5114907253 8299046.560327688),moz,4500,6000
4087,Magude,32.62427,-25.0793,Maize,0.24414008,24.41400800000001,31.0,2.13131575291078,1,POINT (-143816.2539094671 7211045.831571218),moz,4500,6000
19848,Lichinga,35.16507,-13.19566,Maize,1.14e-06,0.00011399999999999999,1338.0,19.559988754385078,9999,POINT (84183.10026388743 8538046.672252553),moz,4500,6000
6333,Sussundenga,33.27937,-19.830920000000006,Maize,0.0,0.0,237.0,1.7246990596389955,1,POINT (-99816.64599099325 7797046.779669831),moz,4500,6000
24823,Chiuta,33.56114,-15.59816,Maize,0.67611619,67.61161899999999,373.0,7.901812056525083,9999,POINT (-83816.30654959241 8268046.025660242),moz,4500,6000
40589,Maganja_da_Cost,37.84541,-17.1359,Maize,0.12563887,12.563887,14.0,8.853925742926029,9999,POINT (377183.7073866475 8105046.288390934),moz,4500,6000
22195,Namarroi,37.00954,-16.17166,Maize,0.00056499,0.056499,342.0,0.9904788610382028,1,POINT (287183.9177976625 8211046.531802404),moz,4500,6000
39641,Mabote,33.73693,-21.73656,Maize,0.35131227,35.131227,122.0,19.067041896730792,9999,POINT (-44815.99465670565 7587046.712556442),moz,4500,6000
27323,Ile,37.16789,-16.23634,Maize,0.00140504,0.140504,308.0,6.163456932670655,9999,POINT (304183.4039304538 8204046.149183926),moz,4500,6000
30030,Gondola,33.94254,-19.31945,Maize,2.0931445,209.31445,53.0,22.527651221817397,9999,POINT (-31816.28101708845 7856046.053688318),moz,4500,6000
25667,Buzi,34.49337,-19.99204,Maize,0.03518838,3.5188379999999997,12.0,10.650424059325996,9999,POINT (28183.91469923255 7783046.437279653),moz,4500,6000
34640,Chemba,34.54528,-17.297520000000002,Maize,0.24410537,24.410536999999998,185.0,2.580818634741683,1,POINT (26184.01746280846 8082046.691525538),moz,4500,6000
30250,Gondola,33.52731,-18.965239999999998,Maize,0.69179446,69.179446,412.0,27.26166145362801,9999,POINT (-76816.16296562331 7894046.507623209),moz,4500,6000
21307,Manica,33.03872,-18.86913,Maize,0.79660656,79.660656,634.0,7.569029378460327,9999,POINT (-128816.4185834361 7903046.435438784),moz,4500,6000
38742,Machaze,33.33603,-20.88605,Maize,0.40261214,40.261214,190.0,38.35651121826381,9999,POINT (-89816.6552630529 7680046.419576672),moz,4500,6000
41203,Macanga,33.80475,-15.144620000000002,Maize,0.64519643,64.519643,899.0,4.248410198850493,1,POINT (-58816.94486684853 8319046.117256826),moz,4500,6000
40498,Maganja_da_Cost,38.00554,-17.07348,Maize,0.01396458,1.396458,4.0,7.3653571203978,9999,POINT (394183.3687072815 8112046.577939633),moz,4500,6000
5000,Cuamba,36.56144000000001,-14.5138,Maize,0.88522036,88.522036,575.0,6.028831324661572,9999,POINT (237183.7607075656 8394046.490006063),moz,4500,6000
41806,Macanga,33.66185,-14.92511,Maize,4.107e-05,0.004107,980.0,20.9385229234787,9999,POINT (-74816.67455053388 8343045.920801368),moz,4500,6000
30297,Gondola,33.60922,-19.06672,Maize,2.09470332,209.470332,412.0,27.7774803330748,9999,POINT (-67816.03664099332 7883045.884129977),moz,4500,6000
9147,Mecuburi,38.7973,-14.752429999999999,Maize,0.81167913,81.167913,456.0,7.472052495778954,9999,POINT (478183.3262429705 8369046.224121443),moz,4500,6000
24459,Alto_Molocue,37.703540000000004,-15.860679999999999,Maize,0.00034708,0.034707999999999996,384.0,12.682473321820336,9999,POINT (361183.8535865652 8246046.048533486),moz,4500,6000
16977,Zumbu,30.96715,-15.06131,Maize,1.9245634999999999,192.45635,848.0,24.84570564494604,9999,POINT (-365816.8700684339 8319045.883279426),moz,4500,6000
18005,Nacala_Velha,40.60739,-14.54809,Maize,0.72443235,72.443235,78.0,20.3894078439209,9999,POINT (673183.9900962159 8391045.944388857),moz,4500,6000
6813,Nhamatanda,34.16438,-19.19931,Maize,0.55038451,55.038451,70.0,2.229865952117478,1,POINT (-8816.135552681109 7870046.263537415),moz,4500,6000
19369,Mecanhelas,35.90065,-15.336739999999999,Maize,0.23669548,23.669548000000002,634.0,2.7086562130178016,1,POINT (167183.3340788317 8302045.964020895),moz,4500,6000
27843,Ile,37.53154,-16.39281,Maize,0.45420124,45.420124,244.0,2.787677350227368,1,POINT (343183.2508803217 8187046.142042651),moz,4500,6000
34107,Marracuene,32.68352,-25.64857,Maize,0.86702611,86.70261099999998,2.0,2.5724008878006543,1,POINT (-134816.7373049079 7148046.616575496),moz,4500,6000
29139,Mossurize,32.52771,-20.75836,Maize,0.29170347,29.170347000000003,427.0,11.889794208064675,9999,POINT (-174816.0559368425 7691045.942102285),moz,4500,6000
2446,Maravia,31.873170000000002,-14.46316,Maize,0.13476488,13.476488,933.0,12.272398248466654,9999,POINT (-269815.9769065925 8389046.569666479),moz,4500,6000
