 Pixel        State             lon          lat     Crop    Fraction
226         Ribaue             37.93334  -14.74102  Maize    0.40744055
227         Ribaue             38.04481  -14.74151  Maize    1.42571020
228         Ribaue             38.10055  -14.74173  Maize    1.10039617
229         Ribaue             38.18415  -14.74204  Maize    0.00061565
230         Ribaue             37.94259  -14.75010  Maize    0.00771854
231         Ribaue             37.96117  -14.75018  Maize    0.34011515
232         Ribaue             38.19341  -14.75111  Maize    0.45968115
233         Ribaue             38.32347  -14.75153  Maize    1.78251898
234         Ribaue             38.36993  -14.75166  Maize    0.01517455
235         Ribaue             38.42567  -14.75181  Maize    0.01391130
236         Ribaue             38.02615  -14.75951  Maize    1.76218626
237         Ribaue             38.43494  -14.76087  Maize    1.34670125
238         Ribaue             38.18405  -14.76916  Maize    1.83507621
239         Ribaue             38.37916  -14.76977  Maize    0.02772410
240         Ribaue             37.96104  -14.77730  Maize    0.08121157
241         Ribaue             38.34195  -14.78775  Maize    0.07653526
242         Ribaue             38.36053  -14.78780  Maize    0.03997412
243         Ribaue             38.36050  -14.79684  Maize    0.11624199
244         Ribaue             38.38838  -14.79691  Maize    1.39535197
245         Ribaue             38.41626  -14.79699  Maize    0.00704368
246         Ribaue             38.01666  -14.80467  Maize    1.76565355
247         Ribaue             38.16533  -14.80526  Maize    0.00000005
248         Ribaue             38.36977  -14.80591  Maize    0.00113734
249         Ribaue             38.09096  -14.81401  Maize    0.07682204
250         Ribaue             38.10025  -14.81405  Maize    1.07251209
251         Ribaue             38.36974  -14.81495  Maize    0.00000000
252         Ribaue             37.88648  -14.82216  Maize    0.00000054
253         Ribaue             37.96082  -14.82250  Maize    0.10379425
254         Ribaue             38.06304  -14.82294  Maize    1.72576230
255         Ribaue             38.36972  -14.82399  Maize    0.00000000
256         Ribaue             38.42545  -14.83317  Maize    0.01668210
257         Ribaue             37.90498  -14.84033  Maize    0.00000000
258         Ribaue             37.92356  -14.84041  Maize    1.11354800
259         Ribaue             37.97003  -14.84063  Maize    1.27035000
260         Ribaue             38.14661  -14.84135  Maize    0.00000008
261         Ribaue             38.36037  -14.84204  Maize    0.00000000
262         Ribaue             37.93281  -14.84950  Maize    1.39287585
263         Ribaue             38.02575  -14.84991  Maize    1.83840949
264         Ribaue             38.10939  -14.85025  Maize    0.20851323
265         Ribaue             38.17445  -14.85049  Maize    0.72727240
266         Ribaue             38.37893  -14.85113  Maize    0.00015251
267         Ribaue             37.90488  -14.85840  Maize    1.68469819
268         Ribaue             37.92347  -14.85849  Maize    1.68227721
269         Ribaue             37.93277  -14.85854  Maize    1.21252304
270         Ribaue             37.96994  -14.85871  Maize    0.12035973
271         Ribaue             38.02571  -14.85895  Maize    1.72516757
272         Ribaue             38.08147  -14.85918  Maize    0.19350619
273         Ribaue             38.36961  -14.86015  Maize    0.14912864
274         Ribaue             38.39750  -14.86022  Maize    1.76224500
275         Ribaue             38.41609  -14.86027  Maize    0.88899060
276         Ribaue             38.47186  -14.86041  Maize    0.00036074
277         Ribaue             37.90484  -14.86744  Maize    0.45577827
278         Ribaue             37.92343  -14.86753  Maize    0.35469766
279         Ribaue             37.95131  -14.86766  Maize    1.40819580
280         Ribaue             37.96061  -14.86770  Maize    0.45702644
281         Ribaue             38.02567  -14.86799  Maize    0.01103681
282         Ribaue             38.08144  -14.86822  Maize    0.00000090
283         Ribaue             38.09073  -14.86826  Maize    0.49481592
284         Ribaue             38.10932  -14.86833  Maize    0.00671955
285         Ribaue             38.15579  -14.86850  Maize    0.01261166
286         Ribaue             38.18368  -14.86861  Maize    0.64583102
287         Ribaue             38.45325  -14.86941  Maize    0.79938546
288         Ribaue             38.47184  -14.86945  Maize    1.42909299
289         Ribaue             37.92338  -14.87657  Maize    1.12397152
290         Ribaue             37.96986  -14.87679  Maize    0.28932654
291         Ribaue             38.03492  -14.87707  Maize    1.84232030
292         Ribaue             38.09069  -14.87730  Maize    0.00248821
293         Ribaue             38.36026  -14.87821  Maize    0.13869846
294         Ribaue             37.99770  -14.88595  Maize    1.59445965
295         Ribaue             38.02559  -14.88607  Maize    0.00003982
296         Ribaue             38.41601  -14.88740  Maize    0.03546328
297         Ribaue             37.92329  -14.89465  Maize    1.52798916
298         Ribaue             37.96048  -14.89482  Maize    0.00001202
299         Ribaue             37.98836  -14.89495  Maize    0.91439068
300         Ribaue             38.09062  -14.89538  Maize    0.00222661
301         Ribaue             38.09991  -14.89541  Maize    0.40966940
302         Ribaue             38.10921  -14.89545  Maize    0.00811486
303         Ribaue             38.39740  -14.89639  Maize    0.00972274
304         Ribaue             38.42529  -14.89646  Maize    1.20029353
305         Ribaue             37.84888  -14.90333  Maize    0.04910482
306         Ribaue             37.95114  -14.90382  Maize    0.00520152
307         Ribaue             38.02550  -14.90415  Maize    0.00000002
308         Ribaue             38.46245  -14.90559  Maize    0.01878449
309         Ribaue             37.95109  -14.91286  Maize    0.00000000
310         Ribaue             38.06265  -14.91334  Maize    0.00021465
311         Ribaue             38.09054  -14.91346  Maize    0.17977416
312         Ribaue             38.33226  -14.91429  Maize    0.00192531
313         Ribaue             38.38805  -14.91445  Maize    0.93782678
314         Ribaue             38.45313  -14.91461  Maize    1.69852750
315         Ribaue             37.86738  -14.92150  Maize    0.21603087
316         Ribaue             37.88597  -14.92159  Maize    0.66889069
317         Ribaue             37.90457  -14.92168  Maize    0.27371064
318         Ribaue             37.96964  -14.92198  Maize    0.21975164
319         Ribaue             38.05331  -14.92235  Maize    0.00000150
320         Ribaue             38.09980  -14.92253  Maize    0.00027850
321         Ribaue             38.11839  -14.92261  Maize    0.00722104
322         Ribaue             38.30434  -14.92325  Maize    0.00000000
323         Ribaue             38.34153  -14.92336  Maize    1.23280054
324         Ribaue             38.38802  -14.92349  Maize    0.04215045
325         Ribaue             38.49030  -14.92374  Maize    0.47961129
326         Ribaue             37.85803  -14.93049  Maize    1.28725023
327         Ribaue             37.86733  -14.93054  Maize    0.11492982
