alloc_key,lon,lat,country,c_code,state,statearea_ha,perimeter_km,year,crop,yield,harv_area_ha,production_ha,geometry
20212,33.5767266079,-22.3977717595,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-58816.44228388567 7513046.256365895)
20350,33.3796996582,-22.4810547122,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-78816.44228479033 7503046.256366215)
20351,33.476450173,-22.484409100300002,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-68816.44228028751 7503046.256364638)
20352,33.5732188792,-22.487705874699998,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-58816.44228192861 7503046.25637373)
20490,33.3760499184,-22.570957843600002,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-78816.44228169345 7493046.256363962)
20491,33.4728624733,-22.5743270885,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-68816.44228442444 7493046.256369214)
20492,33.5696932723,-22.5776384654,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-58816.44228580676 7493046.256364437)
20630,33.3723816205,-22.6608594073,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-78816.44228239532 7483046.256365709)
20631,33.4692565295,-22.6642435277,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-68816.44228331943 7483046.256367201)
20632,33.5661497356,-22.6675695252,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-58816.44228142709 7483046.25637005)
20771,33.4656322886,-22.7541584116,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-68816.44227914675 7473046.256366894)
20772,33.562588216900004,-22.757499048200003,Mozambique,MOZ,Mabote,1503526.523737455,537.2816792362,2000,Maize,0.017870302137067,5428.0,97.0,POINT (-58816.44227937458 7473046.256365811)
19803,34.6499992082,-22.159836971,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (51183.55771326658 7543046.256367507)
19804,34.7467142188,-22.1623931697,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (61183.55771154456 7543046.256367535)
19805,34.8434431611,-22.1648922653,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (71183.55771382974 7543046.256364474)
19806,34.940185721300004,-22.1673342242,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (81183.55771426845 7543046.256364282)
19942,34.5504551156,-22.2472936805,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (41183.5577182502 7533046.256366173)
19943,34.6472172321,-22.2499186781,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (51183.55771738931 7533046.256368157)
19944,34.7439936345,-22.2524863511,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (61183.55771482154 7533046.256372486)
19945,34.8407840085,-22.254996665100002,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (71183.55771780439 7533046.256370264)
19946,34.9375880394,-22.2574495863,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (81183.55771907885 7533046.25636993)
20083,34.64442097,-22.3399990553,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (51183.55771735549 7523046.256372776)
19249,35.2400208934,-21.8137177125,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.557711721 7583046.256365849)
19388,35.1410584135,-21.9016295231,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.5577190932 7573046.256372055)
19389,35.2376570802,-21.903869374499997,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.5577115028 7573046.256370107)
19527,35.0419749996,-21.9894630714,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (91183.55771731981 7563046.25637194)
19528,35.1386217039,-21.9917697988,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.5577132916 7563046.256365588)
19529,35.2352810115,-21.994019805700002,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.557717059 7563046.256363797)
19664,34.7494208715,-22.072298677600003,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (61183.55771910649 7553046.25636632)
19665,34.8460886958,-22.0747865685,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (71183.55771565007 7553046.256373266)
19666,34.9427700993,-22.077217578600003,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (81183.55771499366 7553046.256371992)
19667,35.0394647689,-22.0795916752,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (91183.55771884962 7553046.256371967)
19668,35.136172391100004,-22.0819088265,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.5577138293 7553046.256366104)
19669,35.2328926524,-22.0841690013,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.5577113029 7553046.256365186)
19670,35.329625239,-22.0863721693,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (121183.557716655 7553046.256363893)
19807,35.0369415854,-22.1697190136,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (91183.5577130249 7543046.256368324)
19808,35.1337104392,-22.1720466015,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.5577156687 7543046.256373467)
19809,35.2304919681,-22.1743169567,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.5577118958 7543046.256371657)
19810,35.3272858575,-22.1765300486,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (121183.5577156805 7543046.256373247)
19811,35.4240917923,-22.1786858475,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (131183.5577138765 7543046.256372541)
19947,35.0344054123,-22.259845081799998,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (91183.55771785119 7533046.25636469)
19948,35.1312358121,-22.262183119299998,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.557718274 7533046.256365882)
19949,35.2280789234,-22.264463667399998,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.5577194095 7533046.256369536)
19950,35.3249344305,-22.266686695500002,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (121183.5577143048 7533046.256367587)
19951,35.4218020177,-22.268852173600003,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (131183.5577197969 7533046.256370907)
19952,35.5186813687,-22.2709600727,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (141183.557715075 7533046.256363549)
20087,35.0318562122,-22.349969875,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (91183.55771469197 7523046.25636417)
20088,35.1287484734,-22.352318375,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (101183.5577137253 7523046.256366153)
20089,35.2256534827,-22.354609128699998,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (111183.5577166966 7523046.256367333)
20090,35.3225709235,-22.356842105300004,Mozambique,MOZ,Vilanculos,569327.8819619213,517.2973334971,2000,Maize,0.9438314944834499,13958.0,13174.0,POINT (121183.5577164252 7523046.256363867)
