"CONTINENT_CODE","CONTINENT_NAME","COUNTRY_CODE","COUNTRY_NAME","AREA_CODE","AREA_NAME","ADMIN_LEVEL","ITEM_CODE","ITEM_NAME","YEAR","AEREA_HARVESTED","YIELD","PRODUCTION"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","394","Pumpkins, Squash, Gourds","2000","4023.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","394","Pumpkins, Squash, Gourds","Most recent","4023.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","397","Cucumbers and Gherkins","2000","1290.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","397","Cucumbers and Gherkins","Most recent","1290.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","403","Onions, Dry","2000","3.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","403","Onions, Dry","Most recent","3.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2002","17400.0","","12100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2003","","","2700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2005","22000.0","","5200.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2006","18300.0","","4600.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2007","20500.0","","2600.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","2008","19000.0","","4300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","414","Beans, Green","Most recent","19000.0","","4300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","426","Carrots","2000","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","426","Carrots","Most recent","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","1999","111980.0","1.0","111654.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2002","107400.0","","85700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2003","","","93100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2005","142100.0","","80400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2006","137700.0","","105000.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2007","138000.0","","85700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","2008","135100.0","","76100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","56","Maize","Most recent","135100.0","","76100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","567","Watermelons","2000","965.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","567","Watermelons","Most recent","965.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","667","Tea","2000","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","667","Tea","Most recent","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2000","10.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2002","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2005","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2006","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2007","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","2008","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","689","Pimento, Allspice","Most recent","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","720","Ginger","2000","3.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","720","Ginger","Most recent","3.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","789","Sisal","2000","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","789","Sisal","Most recent","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2000","107092.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2002","2000.0","","700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2003","","","400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2005","1300.0","","300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2006","500.0","","100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2007","700.0","","200.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","2008","8500.0","","2800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","79","Millet","Most recent","8500.0","","2800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2000","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2002","700.0","","258.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2005","500.0","","3117.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2006","500.0","","4454.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2007","","","341.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","2008","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","826","Tobacco Leaves","Most recent","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","1999","63299.0","0.71","44662.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2000","43328.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2002","55500.0","","24900.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2003","","","10300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2005","73700.0","","30500.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2006","60500.0","","25900.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2007","57100.0","","17700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","2008","50700.0","","16800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","83","Sorghum","Most recent","50700.0","","16800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2000","13834.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2002","7700.0","","24000.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2005","10300.0","","25190.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2006","17500.0","","35360.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2007","9100.0","","55540.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","2008","9100.0","","49690.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","122","Sweet Potatoes","Most recent","9100.0","","49690.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","1999","64216.0","6.48","416375.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2000","62635.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2002","42400.0","","89750.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2005","50400.0","","137270.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2006","31300.0","","81620.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2007","40500.0","","156150.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","2008","41900.0","","105410.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","125","Cassava","Most recent","41900.0","","105410.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","137","Yams","2000","10.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","137","Yams","Most recent","10.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","156","Sugar Cane","1999","0.0","0.0","0.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","156","Sugar Cane","2000","443.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","156","Sugar Cane","Most recent","443.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","176","Beans, Dry","1999","23832.0","0.48","11557.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","176","Beans, Dry","Most recent","23832.0","0.48","11557.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","187","Peas, Dry","2000","56.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","187","Peas, Dry","Most recent","56.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2002","34400.0","","2800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2003","","","3800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2005","46600.0","","2200.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2006","44000.0","","6800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2007","42300.0","","3300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","2008","40100.0","","4400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","195","Cow Peas, Dry","Most recent","40100.0","","4400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","236","Soybeans","2000","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","236","Soybeans","Most recent","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","1999","17075.0","0.31","5326.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2002","31800.0","","2930.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2003","","","3050.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2005","23500.0","","730.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2006","18300.0","","2210.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2007","19300.0","","1710.0"
